product_lnr;"subgroup_nr";"subgroup_name"  		
4333;1501;"MELK"			
13581;2801;"ASIATISK"			
364125;203;"â•ªL KLASSE C-D ( 2	4-May	75 VOL ALK )"	
36431;6601;"BRâ•ªD SMâ”¼VARER	 INDUSTRIBAKT"		
336511;8410;"SALAT"			
221972;6601;"BRâ•ªD SMâ”¼VARER	 INDUSTRIBAKT"		
31991;6502;"BRâ•ªD	 BUTIKKSTEKT"		
38186;7702;"FERDIGMAT FERSK	 INDUSTIPAKKET"		
292509;7804;"OST MATLAGINGSOST"			
83771;7003;"SVIN FERSK UBEARBEIDET"			
586749;0;"USPESIFISERT UNDERGRP."			
279371;2210;"Tâ•ªRKET FRUKT"			
406633;6602;"BRâ•ªD SMâ”¼VARER	 BUTIKKSTEKT"		
549668;3404;"SJOKOLADE	 PLATER"		
178986;812;"KAFFE	 â•ªKOLOGISK KOFFEINFRI"		
644127;0;"USPESIFISERT UNDERGRP."			
22985;8416;"TOMATER"			
274919;3703;"SKRâ”¼/SNUS"			
251233;3508;"PASTILLER OG DROPS"			
374961;5501;"MUSIKK	 VIDEO -OG DATAREKVISITA"		
252007;6804;"WIENERBAKST	 INDUSTRIBAKT"		
595633;7005;"SAU/LAM FERSK UBEARBEIDET"			
335912;0;"USPESIFISERT UNDERGRP."			
31111;7602;"SALATER FERSKE	 Lâ•ªSVEKT"		
598920;0;"USPESIFISERT UNDERGRP."			
644628;0;"USPESIFISERT UNDERGRP."			
383027;9904;"SPORT"			
401545;5401;"KONTORREKVISITA"			
146935;8001;"FISK	 BEARBEIDET UEMBALLERT"		
315333;2006;"BAKVERK - LANGTIDSH."			
44985;8302;"â•ªVRIG SITRUS"			
307241;6901;"KAKER HELE	"
646673;0;USPESIFISERT UNDERGRP."""		
147483;0;"USPESIFISERT UNDERGRP."			
542115;8416;"TOMATER"			
397800;0;"USPESIFISERT UNDERGRP."			
249175;4902;"UNDERTâ•ªY HERRE"			
447010;0;"USPESIFISERT UNDERGRP."			
35578;7003;"SVIN FERSK UBEARBEIDET"			
559579;0;"USPESIFISERT UNDERGRP."			
383;5401;"KONTORREKVISITA"			
610381;0;"USPESIFISERT UNDERGRP."			
213052;2401;"MAKARONI"			
409369;0;"USPESIFISERT UNDERGRP."			
447015;0;"USPESIFISERT UNDERGRP."			
306982;7004;"SVIN FERSK BEARBEIDET (SALTET/Râ•ªKT/KRYDRET/MARINER"			
403937;0;"USPESIFISERT UNDERGRP."			
299310;7901;"FISK FERSK	 UEMBALLERT"		
553455;3804;"Bâ•ªKER	 SKJâ•ªNNLITT."		
208279;4507;"LAMPEOLJE"			
316469;4705;"STEARINLYS"			
167291;3102;"KRYDDERIER	 KONSERVERTE"		
546338;0;"USPESIFISERT UNDERGRP."			
290869;7001;"STORFE FERSK UBEARBEIDET"			
88903;4104;"BARN/BABY LEKER"			
482037;3203;"DRESSING"			
203707;5801;"STORFE FRYST UBEARBEIDET"			
299614;2203;"SUKKER OG Sâ•ªTN./KONSERV.MIDDEL"			
42429;8306;"â•ªVRIG FRUKT"			
400482;0;"USPESIFISERT UNDERGRP."			
367460;7702;"FERDIGMAT FERSK	 INDUSTIPAKKET"		
28096;7808;"OST DIVERSE"			
601522;0;"USPESIFISERT UNDERGRP."			
67251;7004;"SVIN FERSK BEARBEIDET (SALTET/Râ•ªKT/KRYDRET/MARINER"			
83952;7101;"KYLLING FERSK	 UBEARBEIDET"		
212100;7901;"FISK FERSK	 UEMBALLERT"		
309097;203;"â•ªL KLASSE C-D ( 2	4-May	75 VOL ALK )"	
113785;8904;"SMâ•ªREMIDLER"			
414802;7013;"â•ªVRIG KJâ•ªTT FERSK UBEARBEIDET"			
231008;7901;"FISK FERSK	 UEMBALLERT"		
325776;3703;"SKRâ”¼/SNUS"			
520958;0;"USPESIFISERT UNDERGRP."			
342508;7004;"SVIN FERSK BEARBEIDET (SALTET/Râ•ªKT/KRYDRET/MARINER"			
408377;0;"USPESIFISERT UNDERGRP."			
522690;6604;"BRâ•ªD SMâ”¼VARER	 Pâ”¼SMURTE"		
57235;9203;"EMBALLASJE"			
30968;7901;"FISK FERSK	 UEMBALLERT"		
50867;2211;"Nâ•ªTTER	 MANDLER"		
249087;9001;"PENGESPILL"			
28266;8110;"FISKEMAT/DELIKATESSER UEMBALLERT	 â•ªVRIG"		
299732;3001;"SAUSER	 Vâ”¼TE"		
22702;3203;"DRESSING"			
586112;0;"USPESIFISERT UNDERGRP."			
90157;5101;"KJâ•ªKKENUTSTYR - DIV. REDSKAPER"			
89797;8308;"DRUER"			
642158;0;"USPESIFISERT UNDERGRP."			
391162;5807;"VILT FRYST UBEARBEIDET"			
501635;0;"USPESIFISERT UNDERGRP."			
554920;7005;"SAU/LAM FERSK UBEARBEIDET"			
524511;0;"USPESIFISERT UNDERGRP."			
598523;0;"USPESIFISERT UNDERGRP."			
91021;1201;"ESSENSE/EKSTRAKTER"			
302360;-9490;"Uspesifisert undergrp."			
541454;0;"USPESIFISERT UNDERGRP."			
410021;0;"USPESIFISERT UNDERGRP."			
64913;8407;"ROTGRâ•ªNNSAKER"			
89073;5101;"KJâ•ªKKENUTSTYR - DIV. REDSKAPER"			
439678;0;"USPESIFISERT UNDERGRP."			
375169;8415;"PAPRIKA"			
496257;0;"USPESIFISERT UNDERGRP."			
496957;0;"USPESIFISERT UNDERGRP."			
338618;5501;"MUSIKK	 VIDEO -OG DATAREKVISITA"		
29688;7801;"OST HVITOST"			
244456;5405;"BILDER OG RAMMER"			
30627;7806;"OST MUGGOST"			
5419;3002;"SAUSER	 Tâ•ªRRE"		
436416;0;"USPESIFISERT UNDERGRP."			
342661;4801;"DYREARTIKLER - HUND"			
43961;0;"USPESIFISERT UNDERGRP."			
187723;5401;"KONTORREKVISITA"			
332382;0;"USPESIFISERT UNDERGRP."			
360849;0;"USPESIFISERT UNDERGRP."			
33567;7401;"SPEKEPâ•ªLSER"			
270199;5101;"KJâ•ªKKENUTSTYR - DIV. REDSKAPER"			
321170;6903;"KONFEKT"			
606957;3403;"SJOKOLADE	 KONFEKT"		
109843;8313;"Bâ•žR"			
609444;7801;"OST HVITOST"			
210455;902;"TE	 VANLIG"		
82539;2006;"BAKVERK - LANGTIDSH."			
75606;4613;"Tâ•ªRKERULLER"			
427895;0;"USPESIFISERT UNDERGRP."			
323638;3805;"FAGBâ•ªKER"			
296822;0;"USPESIFISERT UNDERGRP."			
297305;5403;"Hâ•ªYTID -OG PARTY ARTIKLER"			
26154;8408;"BELGVEKSTER"			
97302;5601;"BYGGEVARER/MALING/VERKTâ•ªY"			
335119;3803;"Bâ•ªKER	 BARN/UNGDOM"		
440360;0;"USPESIFISERT UNDERGRP."			
569130;0;"USPESIFISERT UNDERGRP."			
172629;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
108251;6406;"BAKVERK	 STEKT - DYPFRYST"		
42516;8309;"MELONER"			
233491;4905;"SOKKER/STRâ•ªMPER HERRE"			
211253;108;"VANN KULLSYREFRI	 U. SMAK"		
457898;2006;"BAKVERK - LANGTIDSH."			
234668;4301;"BIND/SANITETSPRODUKTER"			
209645;-7050;"Uspesifisert undergrp."			
292033;4301;"BIND/SANITETSPRODUKTER"			
310407;4508;"LUFTFRISKERE"			
256425;4901;"UNDERTâ•ªY DAME"			
18415;1501;"MELK"			
273424;8002;"FISK	 BEARBEIDET EMBALLERT"		
649799;203;"â•ªL KLASSE C-D ( 2	4-May	75 VOL ALK )"	
439828;6701;"HAMBURGERBRâ•ªD"			
323936;8312;"BEARBEIDET FRUKT"			
311249;107;"VANN MED KULLSYRE	 SMAKSTILSATT"		
287317;5803;"SVIN FRYST UBEARBEIDET"			
29352;0;"USPESIFISERT UNDERGRP."			
345048;2004;"Tâ•ªRT BRâ•ªD"			
42856;8407;"ROTGRâ•ªNNSAKER"			
25003;2004;"Tâ•ªRT BRâ•ªD"			
325564;7401;"SPEKEPâ•ªLSER"			
436742;3804;"Bâ•ªKER	 SKJâ•ªNNLITT."		
48732;-230;"Uspesifisert undergrp."			
482020;3804;"Bâ•ªKER	 SKJâ•ªNNLITT."		
639024;0;"USPESIFISERT UNDERGRP."			
337674;3802;"BLADER/MAGASINER/TIDSKRIFTER"			
439162;8313;"Bâ•žR"			
13114;3101;"KRYDDERIER	 Tâ•ªRREDE"		
25900;5102;"KJâ•ªKKENUTSTYR - PLAST"			
247488;6901;"KAKER HELE	"
12867;1503;Râ•ªMME/SYRNEDE MELKEPROD."""		
82434;8313;"Bâ•žR"			
7436;6203;"Bâ•žR - DYPFRYST"			
34729;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
2893;3203;"DRESSING"			
9011;6202;"FRUKT - DYPFRYST"			
56559;0;"USPESIFISERT UNDERGRP."			
641490;3804;"Bâ•ªKER	 SKJâ•ªNNLITT."		
549623;8111;"FISKEMAT/DELIKATESSER EMBALLERT	 â•ªVRIG"		
344728;3401;"SJOKOLADE	 POSER/ESKER"		
447546;7601;"SALATER FERSKE	 INDUSTRIPAKKET"		
276161;2901;"SUPPER"			
11182;2004;"Tâ•ªRT BRâ•ªD"			
250506;7003;"SVIN FERSK UBEARBEIDET"			
324539;5906;"FERDIGMAT FRYST	 VEGETARRETTER"		
10231;3101;"KRYDDERIER	 Tâ•ªRREDE"		
18043;2702;"MIDDAGSTILBEHâ•ªR	 Tâ•ªRRET"		
236218;3306;"DESSERTER	 SAUSER"		
16255;2004;"Tâ•ªRT BRâ•ªD"			
344366;0;"USPESIFISERT UNDERGRP."			
94242;0;"USPESIFISERT UNDERGRP."			
324526;4402;"DEODORANTER"			
537871;0;"USPESIFISERT UNDERGRP."			
487847;0;"USPESIFISERT UNDERGRP."			
7651;2203;"SUKKER OG Sâ•ªTN./KONSERV.MIDDEL"			
260945;1501;"MELK"			
5765;2101;"Sâ•ªTE KJEKS"			
374319;8311;"Tâ•ªRKET	 FRUKT OG Bâ•žR	 SALATTILBEHâ•ªR"	
4301;3408;"SJOKOLADE	 SESONG INKL. MARSIPAN"		
325666;2205;"KAKEFYLL/DEIG/PYNT"			
2885;1504;"YOGHURT"			
257615;6002;"FISK DYPFRYST BEARBEIDET/FISKEMAT"			
105389;9904;"SPORT"			
16661;7804;"OST MATLAGINGSOST"			
12841;1701;"EGG HVITE PAKKET"			
50005;6501;"BRâ•ªD	 INDUSTRIBAKT"		
65447;3001;"SAUSER	 Vâ”¼TE"		
30037;7806;"OST MUGGOST"			
4031;5402;"KORT (POST	 GRATULASJON M.M)"		
8751;3510;"TYGGEGUMMI"			
333876;2006;"BAKVERK - LANGTIDSH."			
324734;4411;"BALSAM"			
362065;3805;"FAGBâ•ªKER"			
552782;0;"USPESIFISERT UNDERGRP."			
255845;8602;"BLOMSTER FRâ•ª	 Lâ•ªKER"		
258599;6301;"ISKREM OG TILBEHâ•ªR"			
10071;203;"â•ªL KLASSE C-D ( 2	4-May	75 VOL ALK )"	
309047;7004;"SVIN FERSK BEARBEIDET (SALTET/Râ•ªKT/KRYDRET/MARINER"			
24360;8415;"PAPRIKA"			
274191;111;"SPORT/ENERGIDRIKKER FLYTENDE"			
156757;8602;"BLOMSTER FRâ•ª	 Lâ•ªKER"		
452816;0;"USPESIFISERT UNDERGRP."			
306259;4204;"VASKEREDSKAPER"			
29636;7803;"OST SMELTEOST"			
293566;7302;"GRILL/SPESIALPâ•ªLSER"			
565351;9921;"KJâ•ªKKENUTSTYR"			
614208;7002;"STORFE FERSK BEARBEIDET (SALTET/Râ•ªKT/KRYDRET/MARIN"			
227894;3101;"KRYDDERIER	 Tâ•ªRREDE"		
619595;8313;"Bâ•žR"			
299844;1301;"JUICE IKKE KJâ•ªLT"			
12143;7501;"KJâ•ªTT Pâ”¼LEGG"			
300527;5913;"FERDIGMAT FRYST	 PIZZA"		
193968;7501;"KJâ•ªTT Pâ”¼LEGG"			
266870;3402;"SJOKOLADE	 BARS"		
13746;5402;"KORT (POST	 GRATULASJON M.M)"		
345780;7702;"FERDIGMAT FERSK	 INDUSTIPAKKET"		
225908;7501;"KJâ•ªTT Pâ”¼LEGG"			
419506;0;"USPESIFISERT UNDERGRP."			
409770;0;"USPESIFISERT UNDERGRP."			
73884;6801;"HVETEBAKST	 INDUSTRIBAKT"		
301486;8415;"PAPRIKA"			
333719;8501;"POTETER"			
503665;0;"USPESIFISERT UNDERGRP."			
448577;0;"USPESIFISERT UNDERGRP."			
328329;3804;"Bâ•ªKER	 SKJâ•ªNNLITT."		
250222;6802;"HVETEBAKST	 BUTIKKSTEKT"		
583224;7001;"STORFE FERSK UBEARBEIDET"			
1918;2208;"BAKEMIX"			
334162;2208;"BAKEMIX"			
413535;0;"USPESIFISERT UNDERGRP."			
252406;7101;"KYLLING FERSK	 UBEARBEIDET"		
649356;7806;"OST MUGGOST"			
445001;3404;"SJOKOLADE	 PLATER"		
235365;8108;"SILD EMBALLERT"			
91719;101;"BRUS  < 0.36L"			
263561;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
257956;3904;"ANNEN HELSEKOST"			
100385;6904;"KAKER â•ªVRIG"			
38026;0;"USPESIFISERT UNDERGRP."			
15999;2208;"BAKEMIX"			
342395;3404;"SJOKOLADE	 PLATER"		
257272;6501;"BRâ•ªD	 INDUSTRIBAKT"		
246860;5303;"ELEKTRISK MATERIELL"			
344316;8109;"SUSHI"			
291466;4403;"TANNPLEIE"			
71042;0;"USPESIFISERT UNDERGRP."			
46822;-205;"Uspesifisert undergrp."			
334913;2004;"Tâ•ªRT BRâ•ªD"			
327106;101;"BRUS  < 0.36L"			
279150;7801;"OST HVITOST"			
47580;7101;"KYLLING FERSK	 UBEARBEIDET"		
288489;6802;"HVETEBAKST	 BUTIKKSTEKT"		
32695;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
351318;0;"USPESIFISERT UNDERGRP."			
100562;2006;"BAKVERK - LANGTIDSH."			
347389;7502;"POSTEIER/PATEER"			
632713;0;"USPESIFISERT UNDERGRP."			
349645;3201;"OLJE"			
258658;7402;"SPEKESKINKER/SPEKEMAT"			
511595;0;"USPESIFISERT UNDERGRP."			
41655;8405;"BLOMKâ”¼L"			
19507;3501;"SUKKERVARER	 POSER/ESKE"		
337802;0;"USPESIFISERT UNDERGRP."			
29289;0;"USPESIFISERT UNDERGRP."			
269480;2211;"Nâ•ªTTER	 MANDLER"		
293120;5504;"FILMER"			
628385;0;"USPESIFISERT UNDERGRP."			
289601;8111;"FISKEMAT/DELIKATESSER EMBALLERT	 â•ªVRIG"		
307867;4705;"STEARINLYS"			
28082;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
43171;8306;"â•ªVRIG FRUKT"			
566708;0;"USPESIFISERT UNDERGRP."			
334826;4410;"KOSMETIKK DEKORATIV"			
54948;6602;"BRâ•ªD SMâ”¼VARER	 BUTIKKSTEKT"		
93428;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
577481;0;"USPESIFISERT UNDERGRP."			
18505;3206;"KRYDDERSAUSER"			
331796;6301;"ISKREM OG TILBEHâ•ªR"			
203449;5106;"HUSHOLDNINGSUTSTYR	 DIVERSE"		
6956;8801;"POSTPRODUKTER"			
482035;7004;"SVIN FERSK BEARBEIDET (SALTET/Râ•ªKT/KRYDRET/MARINER"			
220003;1301;"JUICE IKKE KJâ•ªLT"			
420349;0;"USPESIFISERT UNDERGRP."			
612068;0;"USPESIFISERT UNDERGRP."			
443932;0;"USPESIFISERT UNDERGRP."			
301566;0;"USPESIFISERT UNDERGRP."			
307824;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
442207;0;"USPESIFISERT UNDERGRP."			
39390;3401;"SJOKOLADE	 POSER/ESKER"		
310683;0;"USPESIFISERT UNDERGRP."			
519252;0;"USPESIFISERT UNDERGRP."			
312914;5203;"GARN"			
71174;8304;"EPLER"			
646783;2208;"BAKEMIX"			
369286;7502;"POSTEIER/PATEER"			
460686;7005;"SAU/LAM FERSK UBEARBEIDET"			
246559;1901;"SYLTETâ•ªY"			
299829;3401;"SJOKOLADE	 POSER/ESKER"		
17103;3501;"SUKKERVARER	 POSER/ESKE"		
584725;0;"USPESIFISERT UNDERGRP."			
25141;5401;"KONTORREKVISITA"			
232254;8313;"Bâ•žR"			
300432;2901;"SUPPER"			
594830;0;"USPESIFISERT UNDERGRP."			
188137;5101;"KJâ•ªKKENUTSTYR - DIV. REDSKAPER"			
636607;0;"USPESIFISERT UNDERGRP."			
154529;5302;"LYSPâ•žRER/LYSKILDER"			
88146;9920;"FYRVERKERI"			
262511;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
300561;6602;"BRâ•ªD SMâ”¼VARER	 BUTIKKSTEKT"		
426421;0;"USPESIFISERT UNDERGRP."			
304619;2204;"MARSIPAN	 HUSHOLDNING"		
213646;0;"USPESIFISERT UNDERGRP."			
75544;5601;"BYGGEVARER/MALING/VERKTâ•ªY"			
344668;1501;"MELK"			
211946;7801;"OST HVITOST"			
15918;2006;"BAKVERK - LANGTIDSH."			
526407;1501;"MELK"			
78124;0;"USPESIFISERT UNDERGRP."			
479264;7003;"SVIN FERSK UBEARBEIDET"			
645723;0;"USPESIFISERT UNDERGRP."			
490134;0;"USPESIFISERT UNDERGRP."			
71159;0;"USPESIFISERT UNDERGRP."			
534481;3704;"TOBAKK"			
428505;0;"USPESIFISERT UNDERGRP."			
101149;9920;"FYRVERKERI"			
309932;0;"USPESIFISERT UNDERGRP."			
163950;8308;"DRUER"			
30126;7801;"OST HVITOST"			
24019;2618;"TOMATER	 HERMETISK"		
183945;7005;"SAU/LAM FERSK UBEARBEIDET"			
311123;6501;"BRâ•ªD	 INDUSTRIBAKT"		
260736;5403;"Hâ•ªYTID -OG PARTY ARTIKLER"			
44592;101;"BRUS  < 0.36L"			
463173;5504;"FILMER"			
55643;0;"USPESIFISERT UNDERGRP."			
319696;4604;"BAKEPAPIR"			
348146;3404;"SJOKOLADE	 PLATER"		
25355;1901;"SYLTETâ•ªY"			
42362;8302;"â•ªVRIG SITRUS"			
428107;0;"USPESIFISERT UNDERGRP."			
85680;0;"USPESIFISERT UNDERGRP."			
49309;3705;"TOBAKK TILBEHâ•ªR"			
333633;7004;"SVIN FERSK BEARBEIDET (SALTET/Râ•ªKT/KRYDRET/MARINER"			
183619;6902;"KAKER STYKKER"			
362132;3804;"Bâ•ªKER	 SKJâ•ªNNLITT."		
168774;5601;"BYGGEVARER/MALING/VERKTâ•ªY"			
422031;0;"USPESIFISERT UNDERGRP."			
331334;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
11611;4407;"HUD OG NEGLPLEIE"			
469046;7003;"SVIN FERSK UBEARBEIDET"			
172414;-9490;"Uspesifisert undergrp."			
36674;7901;"FISK FERSK	 UEMBALLERT"		
217961;7302;"GRILL/SPESIALPâ•ªLSER"			
345181;0;"USPESIFISERT UNDERGRP."			
49947;6501;"BRâ•ªD	 INDUSTRIBAKT"		
415876;0;"USPESIFISERT UNDERGRP."			
514806;0;"USPESIFISERT UNDERGRP."			
644375;0;"USPESIFISERT UNDERGRP."			
645010;0;"USPESIFISERT UNDERGRP."			
438143;0;"USPESIFISERT UNDERGRP."			
318456;0;"USPESIFISERT UNDERGRP."			
25767;8315;"STEINFRUKTER"			
287642;8002;"FISK	 BEARBEIDET EMBALLERT"		
380818;0;"USPESIFISERT UNDERGRP."			
575448;8109;"SUSHI"			
318404;3899;"DIVERSE AVISER/BLADER/Bâ•ªKER"			
601514;0;"USPESIFISERT UNDERGRP."			
503064;0;"USPESIFISERT UNDERGRP."			
326092;0;"USPESIFISERT UNDERGRP."			
604390;0;"USPESIFISERT UNDERGRP."			
625132;0;"USPESIFISERT UNDERGRP."			
142564;4705;"STEARINLYS"			
400412;1301;"JUICE IKKE KJâ•ªLT"			
429485;0;"USPESIFISERT UNDERGRP."			
97087;-9490;"Uspesifisert undergrp."			
306754;9912;"FISKEUTSTYR"			
569913;5504;"FILMER"			
263222;2604;"Bâ•ªNNER	 HERMETISK"		
185205;9902;"LEKER"			
110194;5805;"SAU/LAM FRYST UBEARBEIDET"			
307972;4999;"BEKLEDNING DIVERSE"			
27507;6601;"BRâ•ªD SMâ”¼VARER	 INDUSTRIBAKT"		
331033;3804;"Bâ•ªKER	 SKJâ•ªNNLITT."		
314092;0;"USPESIFISERT UNDERGRP."			
487846;6001;"FISK DYPFRYST UBEARBEIDET"			
436240;0;"USPESIFISERT UNDERGRP."			
606811;0;"USPESIFISERT UNDERGRP."			
36413;8103;"FISKEKAKER/BOLLER UEMBALLERT"			
77736;9904;"SPORT"			
455359;0;"USPESIFISERT UNDERGRP."			
13413;4705;"STEARINLYS"			
