product_lnr;"subgroup_nr";"subgroup_name"  		
4333;1501;"MELK"			
13581;2801;"ASIATISK"			
311062;203;"â•ªL KLASSE C-D ( 2	4-May	75 VOL ALK )"	
162909;8313;"Bâ•žR"			
964;7303;"MIDDAGSPâ•ªLSER"			
457224;3510;"TYGGEGUMMI"			
220964;7702;"FERDIGMAT FERSK	 INDUSTIPAKKET"		
31644;8001;"FISK	 BEARBEIDET UEMBALLERT"		
18195;6801;"HVETEBAKST	 INDUSTRIBAKT"		
21901;5906;"FERDIGMAT FRYST	 VEGETARRETTER"		
328067;6502;"BRâ•ªD	 BUTIKKSTEKT"		
595537;8304;"EPLER"			
189961;7501;"KJâ•ªTT Pâ”¼LEGG"			
359320;3804;"Bâ•ªKER	 SKJâ•ªNNLITT."		
299804;3404;"SJOKOLADE	 PLATER"		
1490;801;"KAFFE	 HELE Bâ•ªNNER"		
264313;2208;"BAKEMIX"			
7184;1501;"MELK"			
452481;1801;"FROKOSTCEREALER"			
55262;0;"USPESIFISERT UNDERGRP."			
424520;3608;"SNACKS DIVERSE"			
5714;3208;"SENNEP"			
18887;6702;"Pâ•ªLSEBRâ•ªD"			
251649;7502;"POSTEIER/PATEER"			
136441;2201;"MEL OG GRYNVARER"			
284117;8413;"BEARBEIDEDE GRâ•ªNNSAKER"			
6665;104;"BRUS  1.01L-1.50L"			
34647;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
30514;7801;"OST HVITOST"			
603352;3802;"BLADER/MAGASINER/TIDSKRIFTER"			
23578;3404;"SJOKOLADE	 PLATER"		
188248;4704;"GLASS OG SERVISE"			
34873;7001;"STORFE FERSK UBEARBEIDET"			
15204;4901;"UNDERTâ•ªY DAME"			
334778;2205;"KAKEFYLL/DEIG/PYNT"			
293057;7702;"FERDIGMAT FERSK	 INDUSTIPAKKET"		
549641;3101;"KRYDDERIER	 Tâ•ªRREDE"		
338621;0;"USPESIFISERT UNDERGRP."			
195469;0;"USPESIFISERT UNDERGRP."			
204784;9102;"KAFâ•”VARER - DRIKKE"			
343309;3805;"FAGBâ•ªKER"			
169770;3801;"AVISER"			
167745;8001;"FISK	 BEARBEIDET UEMBALLERT"		
368797;3203;"DRESSING"			
459814;7702;"FERDIGMAT FERSK	 INDUSTIPAKKET"		
11290;7003;"SVIN FERSK UBEARBEIDET"			
180296;5912;"FERDIGMAT FRYST	 PASTARETTER"		
7930;2801;"ASIATISK"			
65317;8308;"DRUER"			
646237;0;"USPESIFISERT UNDERGRP."			
405350;2604;"Bâ•ªNNER	 HERMETISK"		
2595;4401;"Sâ”¼PE	 BADEPRODUKTER"		
398566;4902;"UNDERTâ•ªY HERRE"			
1275;5101;"KJâ•ªKKENUTSTYR - DIV. REDSKAPER"			
7783;2203;"SUKKER OG Sâ•ªTN./KONSERV.MIDDEL"			
33498;7501;"KJâ•ªTT Pâ”¼LEGG"			
8861;3603;"POTETSNACKS"			
43851;8403;"â•ªVRIGE GRâ•ªNNSAKER"			
255434;1901;"SYLTETâ•ªY"			
1659;6501;"BRâ•ªD	 INDUSTRIBAKT"		
19551;3001;"SAUSER	 Vâ”¼TE"		
237547;8002;"FISK	 BEARBEIDET EMBALLERT"		
33887;7219;"DEIGER OG FARSER FERSKE	 â•ªVRIG"		
19017;2211;"Nâ•ªTTER	 MANDLER"		
238339;902;"TE	 VANLIG"		
204942;7401;"SPEKEPâ•ªLSER"			
48265;6501;"BRâ•ªD	 INDUSTRIBAKT"		
38299;3401;"SJOKOLADE	 POSER/ESKER"		
545160;4807;"DYREMAT - KATT"			
65533;0;"USPESIFISERT UNDERGRP."			
456278;7003;"SVIN FERSK UBEARBEIDET"			
435759;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
610949;0;"USPESIFISERT UNDERGRP."			
274673;6502;"BRâ•ªD	 BUTIKKSTEKT"		
97742;7701;"FERDIGMAT FERSK	 Lâ•ªSVEKT/BUTIKKPAKKET"		
63682;4410;"KOSMETIKK DEKORATIV"			
41976;8313;"Bâ•žR"			
345888;3001;"SAUSER	 Vâ”¼TE"		
38254;6601;"BRâ•ªD SMâ”¼VARER	 INDUSTRIBAKT"		
627471;0;"USPESIFISERT UNDERGRP."			
467259;6902;"KAKER STYKKER"			
344772;7702;"FERDIGMAT FERSK	 INDUSTIPAKKET"		
361211;8002;"FISK	 BEARBEIDET EMBALLERT"		
228402;8315;"STEINFRUKTER"			
482567;0;"USPESIFISERT UNDERGRP."			
274254;8306;"â•ªVRIG FRUKT"			
4999;3508;"PASTILLER OG DROPS"			
53521;6501;"BRâ•ªD	 INDUSTRIBAKT"		
33884;7218;"FARSER FERSKE"			
12069;6702;"Pâ•ªLSEBRâ•ªD"			
35412;7003;"SVIN FERSK UBEARBEIDET"			
415554;1505;"DESSERTER OG MELLOMRETTER	 KJâ•ªLTE"		
562654;0;"USPESIFISERT UNDERGRP."			
4666;1201;"ESSENSE/EKSTRAKTER"			
313652;1901;"SYLTETâ•ªY"			
294818;4999;"BEKLEDNING DIVERSE"			
108520;8604;"BLOMSTERJORD/TORV/GJâ•ªDSEL/Nâ•žRING"			
260553;4905;"SOKKER/STRâ•ªMPER HERRE"			
13148;6002;"FISK DYPFRYST BEARBEIDET/FISKEMAT"			
323522;0;"USPESIFISERT UNDERGRP."			
287337;7902;"FISK FERSK	 EMBALLERT"		
522185;0;"USPESIFISERT UNDERGRP."			
573337;0;"USPESIFISERT UNDERGRP."			
542149;7501;"KJâ•ªTT Pâ”¼LEGG"			
606062;0;"USPESIFISERT UNDERGRP."			
531129;0;"USPESIFISERT UNDERGRP."			
516000;0;"USPESIFISERT UNDERGRP."			
23085;4410;"KOSMETIKK DEKORATIV"			
10677;1501;"MELK"			
127632;1705;"EGG FRA FRITTGâ”¼ENDE Hâ•ªNER"			
54345;6604;"BRâ•ªD SMâ”¼VARER	 Pâ”¼SMURTE"		
31570;7901;"FISK FERSK	 UEMBALLERT"		
628858;0;"USPESIFISERT UNDERGRP."			
629018;0;"USPESIFISERT UNDERGRP."			
653998;0;"USPESIFISERT UNDERGRP."			
641899;0;"USPESIFISERT UNDERGRP."			
586142;0;"USPESIFISERT UNDERGRP."			
211106;2499;"ANDRE PASTAPRODUKTER"			
613723;0;"USPESIFISERT UNDERGRP."			
43904;-7910;"Uspesifisert undergrp."			
25220;4410;"KOSMETIKK DEKORATIV"			
326506;4903;"STRâ•ªMPEBUKSER DAME"			
29121;0;"USPESIFISERT UNDERGRP."			
310492;7102;"KYLLING FERSK	 BEARBEIDET (SALTET/Râ•ªKT/KRYDRET/MAR"		
573387;0;"USPESIFISERT UNDERGRP."			
291724;4516;"AVLâ•ªPS	 SANERVESKE"		
36560;7901;"FISK FERSK	 UEMBALLERT"		
162437;8602;"BLOMSTER FRâ•ª	 Lâ•ªKER"		
624326;0;"USPESIFISERT UNDERGRP."			
