SIGARETTER 3702 1.33194444444 1.41015592672
KAFFE 803 3.29166666667 1.4889640321
MELK 1501 2.38095238095 1.9323155895
EMBALLASJE 9203 2.85562770563 2.20948468784
TOMATER 8416 4.19444444444 2.47518548999
JUICE 1302 3.71904761905 2.56418291345
PANT 9802 3.99471595656 2.7971360878
PASTILLER 3508 3.80392156863 2.94737908061
YOGHURT 1504 5.20833333333 3.19103078474
BRGò¬D 6501 5.53846153846 3.2726226748
BRUS  1.01L-1.50L 104 6.51041666667 4.11645527038
AGURKER 8414 13.48 6.0802631522
POSTEIER/PATEER 7502 10.4583333333 6.7952444564
TOALETTPAPIR 4612 11.9090909091 6.82847707571
STEINFRUKTER 8315 12.0166666667 6.85332441634
PANT INNGGö+ENDE 9801 14.975 7.05066486227
FISKEPGö+LEGG 1903 12.75 7.86209259676
DRUER 8308 12.4447012254 8.31409722263
SJOKOLADE 3404 13.1 8.64754300365
LESKEDRIKKER 1402 12.75 9.1821838361
NGò¬TTER 3606 16.4375 9.56535904972
RGò¬MME/SYRNEDE 1503 20.53125 9.90181288641
OST MATLAGINGSOST 7804 15.619047619 9.91980313973
GULRGò¬TTER 8409 20.1 10.0244700608
TGò¬YVASK 4201 24.2222222222 10.1300189511
FISK 8002 14.75 10.4398788991
MEKSIKANSK 2802 17.4666666667 10.5616707433
TYGGEGUMMI 3510 16.6 11.1462998345
SPEKEPGò¬LSER 7401 15.7857142857 11.4044388064
POTETER 8501 14.3545353553 11.5595881689
SYLTETGò¬Y 1901 26.5454545455 12.3683146229
SALATER 7601 17.3 12.4201449267
OST 7801 18.8462837838 12.4238098725
LGò¬K 8404 20.6198503857 12.4774626936
SALAT 8410 21.8 12.7499019604
DEIGER 7217 15.1950113913 12.8178021763
SUKKERVARER 3501 20.5357142857 13.2077686632
BLOMKGö+L 8405 20.78125 13.31466385
EGG HVITE 1701 25.0 14.2478068488
KRYDDERIER 3101 23.2 14.3861044067
TANNPLEIE 4403 26.5 14.4444749694
SMGò¬R 1601 23.1875 14.6371477327
PGòPRER 8305 20.8451568507 15.1660580694
KJGò¬TT 7501 18.2423827769 16.1895763311
LOMPER 6703 27.3333333333 16.3299316186
SAUSER 3002 20.1 16.5027270474
BROCCOLI 8402 22.6363636364 17.5875613446
APPELSIN 8301 17.7969500247 18.0784597227
SVIN FERSK 7004 28.1633420328 19.0990575469
BRG¬D 6603 18.9583333333 20.3595715274
SMGö+VARER 6402 27.5625 20.456413267
HUD 4407 21.1 20.8903486488
AGURKER 2601 38.0 21.5127868952
BANANER 8307 22.073782635 22.3292355582
ROTGRGò¬NNSAKER 8407 40.8095238095 23.4729544761
OST MUGGOST 7806 27.36129022 23.6738625041
SGò¬TPGö+LEGG 1902 27.125 24.7963580995
BARBERARTIKLER 4405 36.7142857143 26.3097715998
MIDDAGSPGò¬LSER 7303 67.3333333333 26.905183309
VITAMINER 3901 64.1666666667 27.4676577491
SJOKOLADE 3402 44.4166666667 27.7014089092
FERDIGMAT 7701 43.8535798185 28.3891478184
HVETEBAKST 6801 35.8888888889 28.5713315695
PAPRIKA 8415 44.1857779275 29.6223839377
KYLLING 7101 38.6428571429 30.2131880922
AVISER 3801 47.1428571429 32.5112225522
BELGVEKSTER 8408 51.75 34.2609471556
RENGJGò¬RINGSMIDLER 4202 50.125 35.6526208714
SUKKER 2203 52.9166666667 39.2836020356
HYGIENEARTIKLER DIV. 4499 62.6666666667 49.4559287537
FROKOSTCEREALER 1801 62.3333333333 50.3609195927
BIND/SANITETSPRODUKTER 4301 68.3333333333 59.6675977581
